Location,T2M,T2MWET,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS50M,WS50M_MAX,WS50M_MIN
Bonia_mean,24.8824775,18.00514395,24.39903798,31.03973955,19.72317332,48.79407277,2.909650814,96.21727035,2.419948292,4.037446537,0.938973508,3.234686243,4.873369933,1.265744015
Hariharpur_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Surkhet AIrport _mean,20.18840281,14.35089882,19.45104437,26.15941015,15.33812512,53.5391165,3.004118736,88.7173744,2.384149378,4.329624003,0.823883817,2.870074689,4.485313118,1.086954357
Bame_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Kalagaun_mean,14.95048324,10.03299649,14.28077944,21.08542483,10.08809192,57.69772231,3.021934248,80.7631082,2.510844558,4.840745611,0.834572614,2.766857964,4.586235557,1.060296202
Parasan_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Najota_mean,25.51158251,18.54064858,25.16090903,32.18207724,19.92186403,49.15951867,3.016633897,98.14988956,2.549802745,4.155874242,1.037892116,3.739091605,5.70580466,1.494267475
Birendranagar-13_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Phulwari_mean,25.51158251,18.54064858,25.16090903,32.18207724,19.92186403,49.15951867,3.016633897,98.14988956,2.549802745,4.155874242,1.037892116,3.739091605,5.70580466,1.494267475
Pahalmanpur_mean,25.51158251,18.54064858,25.16090903,32.18207724,19.92186403,49.15951867,3.016633897,98.14988956,2.549802745,4.155874242,1.037892116,3.739091605,5.70580466,1.494267475
Chhiwang_mean,14.95048324,10.03299649,14.28077944,21.08542483,10.08809192,57.69772231,3.021934248,80.7631082,2.510844558,4.840745611,0.834572614,2.766857964,4.586235557,1.060296202
Teduha_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Laxmipur_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Kiratpur_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Chisapani_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
GaineKanda_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Dharapani II_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
